"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"2211","survey-text","0","2213","","","","","",""
"","fullscreen","1","3811","","","","","",""
"2744","instructions","2","6555","","","","","",""
"","html-keyboard-response","3","7457","","","","","",""
"","visual-array-stimuli","4","7768","6","47,117,80,63,82,157,154,22,89,93,49,54","white,yellow,white,red,red,white","","",""
"","html-keyboard-response","5","8682","","","","","",""
"3823","visual-array-response","6","12509","","","","true","75","true"
"","html-keyboard-response","7","13520","","","","","",""
"","html-keyboard-response","8","14437","","","","","",""
"","visual-array-stimuli","9","14748","8","102,177,205,96,132,212,226,183,114,152,21,112,130,130,129,103","purple,blue,blue,green,yellow,purple,red,green","","",""
"","html-keyboard-response","10","15661","","","","","",""
"2315","visual-array-response","11","17982","","","","true","75","true"
"","html-keyboard-response","12","18992","","","","","",""
"","html-keyboard-response","13","19894","","","","","",""
"","visual-array-stimuli","14","20205","4","128,20,224,73,53,163,127,75","black,red,yellow,blue","","",""
"","html-keyboard-response","15","21110","","","","","",""
"587","visual-array-response","16","21699","","","","false","75","false"
"","html-keyboard-response","17","22701","","","","","",""
"","html-keyboard-response","18","23616","","","","","",""
"","visual-array-stimuli","19","23931","8","87,164,239,133,70,187,160,207,83,100,145,238,176,159,43,197","purple,purple,green,green,purple,green,red,purple","","",""
"","html-keyboard-response","20","24837","","","","","",""
"6042","visual-array-response","21","30884","","","","true","75","true"
"","html-keyboard-response","22","31893","","","","","",""
"","html-keyboard-response","23","32794","","","","","",""
"","visual-array-stimuli","24","33103","6","210,54,108,210,80,153,131,156,167,170,20,135","red,green,black,black,green,white","","",""
"","html-keyboard-response","25","34015","","","","","",""
"750","visual-array-response","26","34768","","","","false","75","false"
"","html-keyboard-response","27","35784","","","","","",""
"","html-keyboard-response","28","36698","","","","","",""
"","visual-array-stimuli","29","37008","4","172,58,180,150,238,114,32,181","green,white,purple,black","","",""
"","html-keyboard-response","30","37923","","","","","",""
"895","visual-array-response","31","38820","","","","true","75","true"
"","html-keyboard-response","32","39827","","","","","",""
"","html-keyboard-response","33","40740","","","","","",""
"","visual-array-stimuli","34","41050","6","217,63,130,130,24,162,155,208,239,135,184,139","blue,yellow,blue,green,green,purple","","",""
"","html-keyboard-response","35","41962","","","","","",""
"1790","visual-array-response","36","43756","","","","true","75","true"
"","html-keyboard-response","37","44771","","","","","",""
"","html-keyboard-response","38","45686","","","","","",""
"","visual-array-stimuli","39","45995","4","107,50,126,75,20,139,183,143","white,yellow,purple,purple","","",""
"","html-keyboard-response","40","46911","","","","","",""
"5388","visual-array-response","41","52301","","","","true","75","true"
"","html-keyboard-response","42","53316","","","","","",""
"","html-keyboard-response","43","54228","","","","","",""
"","visual-array-stimuli","44","54539","6","119,183,115,211,197,82,153,179,235,97,48,115","purple,black,red,green,black,blue","","",""
"","html-keyboard-response","45","55452","","","","","",""
"6118","visual-array-response","46","61574","","","","false","75","false"
"","html-keyboard-response","47","62575","","","","","",""
"","html-keyboard-response","48","63486","","","","","",""
"","visual-array-stimuli","49","63796","4","46,57,180,107,147,238,117,211","blue,blue,black,red","","",""
"","html-keyboard-response","50","64697","","","","","",""
"2931","visual-array-response","51","67631","","","","false","75","false"
"","html-keyboard-response","52","68632","","","","","",""
"","html-keyboard-response","53","69544","","","","","",""
"","visual-array-stimuli","54","69855","8","170,92,47,129,105,140,75,136,130,47,162,235,97,206,228,80","red,black,white,white,yellow,purple,blue,red","","",""
"","html-keyboard-response","55","70767","","","","","",""
"3782","visual-array-response","56","74555","","","","false","75","false"
"","html-keyboard-response","57","75566","","","","","",""
"","html-keyboard-response","58","76468","","","","","",""
"","visual-array-stimuli","59","76782","8","172,94,98,53,145,107,124,20,188,71,97,235,239,143,222,70","purple,black,red,blue,purple,blue,red,blue","","",""
"","html-keyboard-response","60","77695","","","","","",""
"2274","visual-array-response","61","79974","","","","false","75","false"
"","html-keyboard-response","62","80980","","","","","",""
"","fullscreen","63","81988","","","","","",""
"","html-keyboard-response","64","82089","","","","","",""
