"rt","recall","stimuli","accuracy","trial_type","trial_index","time_elapsed"
"6320","1,8,3","1,9,3","0","digit-span-recall","6","44771"
"7512","4,5,9","3,4,9","0","digit-span-recall","11","56314"
"50068","9,1,3","1,2,4","0","digit-span-recall","16","110415"
"3876","7,1,2","3,8,9","0","digit-span-recall","22","120463"
"25877","8,9,1","8,1,5","0","digit-span-recall","27","150386"
"3468","5,6,9","4,2,8","0","digit-span-recall","32","157898"
"5637","4,6,8","3,5,1","0","digit-span-recall","37","167570"
"5089","1","5,2,4","0","digit-span-recall","42","176696"
"2655","","0,8,7","0","digit-span-recall","47","183384"
"913","","1,9,8","0","digit-span-recall","52","188323"
"1319","","9,0,5","0","digit-span-recall","57","193673"
"1259","","4,5,7","0","digit-span-recall","62","198958"
"418","","7,0,6","0","digit-span-recall","67","203404"
"518","","6,3,2","0","digit-span-recall","72","207960"
"809","","0,6,8","0","digit-span-recall","77","212803"
"732","","3,9,0","0","digit-span-recall","82","217580"
"1505","","1,4,3","0","digit-span-recall","87","223115"
