"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"2430","survey-text","0","2432","","","","","",""
"","fullscreen","1","4424","","","","","",""
"1186","instructions","2","5610","","","","","",""
"","html-keyboard-response","3","6530","","","","","",""
"","visual-array-stimuli","4","6846","6","116,76,152,237,194,182,65,77,231,88,47,137","black,green,white,white,blue,green","","",""
"","html-keyboard-response","5","7761","","","","","",""
"20","visual-array-response","6","7783","","","","false","75","false"
"","html-keyboard-response","7","8802","","","","","",""
"","html-keyboard-response","8","9711","","","","","",""
"","visual-array-stimuli","9","10029","4","150,79,138,104,64,180,184,133","green,green,blue,white","","",""
"","html-keyboard-response","10","10941","","","","","",""
"125","visual-array-response","11","11067","","","","false","75","false"
"","html-keyboard-response","12","12078","","","","","",""
"","html-keyboard-response","13","12990","","","","","",""
"","visual-array-stimuli","14","13304","6","115,107,88,28,62,216,102,177,238,145,133,239","red,yellow,white,red,black,purple","","",""
"","html-keyboard-response","15","14224","","","","","",""
"4","visual-array-response","16","14229","","","","true","83","false"
"","html-keyboard-response","17","15240","","","","","",""
"","html-keyboard-response","18","16157","","","","","",""
"","visual-array-stimuli","19","16473","6","209,152,218,194,116,106,20,137,152,50,170,202","blue,purple,yellow,purple,yellow,green","","",""
"","html-keyboard-response","20","17380","","","","","",""
"96","visual-array-response","21","17478","","","","true","75","true"
"","html-keyboard-response","22","18489","","","","","",""
"","html-keyboard-response","23","19401","","","","","",""
"","visual-array-stimuli","24","19710","4","152,50,184,122,36,71,203,48","yellow,green,red,white","","",""
"","html-keyboard-response","25","20628","","","","","",""
"0","visual-array-response","26","20629","","","","false","83","true"
"","html-keyboard-response","27","21645","","","","","",""
"","html-keyboard-response","28","22558","","","","","",""
"","visual-array-stimuli","29","22877","4","206,50,161,53,189,188,105,179","yellow,purple,green,green","","",""
"","html-keyboard-response","30","23790","","","","","",""
"12","visual-array-response","31","23803","","","","true","83","false"
"","html-keyboard-response","32","24817","","","","","",""
"","html-keyboard-response","33","25730","","","","","",""
"","visual-array-stimuli","34","26033","8","151,180,88,201,71,36,216,197,103,124,108,79,79,64,151,210","black,red,green,purple,black,white,yellow,white","","",""
"","html-keyboard-response","35","26945","","","","","",""
"110","visual-array-response","36","27057","","","","true","75","true"
"","html-keyboard-response","37","28061","","","","","",""
"","html-keyboard-response","38","28965","","","","","",""
"","visual-array-stimuli","39","29279","4","184,125,147,48,211,147,153,143","yellow,red,yellow,red","","",""
"","html-keyboard-response","40","30186","","","","","",""
"76","visual-array-response","41","30263","","","","true","75","true"
"","html-keyboard-response","42","31267","","","","","",""
"","html-keyboard-response","43","32171","","","","","",""
"","visual-array-stimuli","44","32476","6","165,204,183,144,94,55,239,141,95,87,137,239","yellow,green,yellow,green,white,white","","",""
"","html-keyboard-response","45","33380","","","","","",""
"74","visual-array-response","46","33455","","","","true","75","true"
"","html-keyboard-response","47","34460","","","","","",""
"","html-keyboard-response","48","35363","","","","","",""
"","visual-array-stimuli","49","35668","8","168,169,150,146,68,186,205,165,20,126,145,238,80,154,47,126","green,blue,purple,purple,white,blue,red,black","","",""
"","html-keyboard-response","50","36572","","","","","",""
"169","visual-array-response","51","36743","","","","false","75","false"
"","html-keyboard-response","52","37747","","","","","",""
"","html-keyboard-response","53","38652","","","","","",""
"","visual-array-stimuli","54","38955","8","204,93,47,135,197,216,130,130,112,77,126,239,237,152,115,152","white,black,white,purple,black,black,blue,black","","",""
"","html-keyboard-response","55","39860","","","","","",""
"117","visual-array-response","56","39978","","","","false","83","true"
"","html-keyboard-response","57","40980","","","","","",""
"","html-keyboard-response","58","41881","","","","","",""
"","visual-array-stimuli","59","42188","8","145,21,25,96,190,73,152,237,166,89,79,107,205,164,132,47","white,white,red,white,yellow,green,white,green","","",""
"","html-keyboard-response","60","43101","","","","","",""
"176","visual-array-response","61","43279","","","","true","83","false"
"","html-keyboard-response","62","44284","","","","","",""
"","fullscreen","63","45292","","","","","",""
"","html-keyboard-response","64","45396","","","","","",""
